id,name,priceLabel,category,url,imageUrl,isVisible,availability,inventoryLevel,dateModified
1501,Totguard Children Ergonomic Chair Blue,AUD $242.00,Kids ergonomic study chair in blue,https://www.retaildisplaydirect.com.au/totguard-children-ergonomic-chair-blue/,https://cdn11.bigcommerce.com/s-ugqmr0qfvf/products/1501/images/5065/A__23822.1718265345.500.750.jpg?c=2,true,available,14,2026-08-08T06:23:37+00:00
1502,Totguard Children Ergonomic Study Chair Pink,AUD $242.00,Kids ergonomic study chair in pink,https://www.retaildisplaydirect.com.au/totguard-children-ergonomic-study-chair-pink/,https://cdn11.bigcommerce.com/s-ugqmr0qfvf/products/1502/images/5082/A__60544.1718265599.500.750.jpg?c=2,true,available,18,2026-08-08T06:23:39+00:00
1379,ErgoDC Ergonomic Office Chair,AUD $104.50,Ergonomic mesh office chair,https://www.retaildisplaydirect.com.au/ergodc-ergonomic-office-chair/,https://cdn11.bigcommerce.com/s-ugqmr0qfvf/products/1379/images/3557/A__20624.1668132019.500.750.jpg?c=2,true,available,0,2026-07-15T18:06:41+00:00
1380,ErgoDC Ergonomic Computer Chair,AUD $159.50,Ergonomic mesh computer chair,https://www.retaildisplaydirect.com.au/ergodc-ergonomic-computer-chair/,https://cdn11.bigcommerce.com/s-ugqmr0qfvf/products/1380/images/3600/A__63210.1658382595.500.750.jpg?c=2,true,available,0,2026-07-15T18:06:41+00:00
1381,ErgoDC Ergonomic Designer Office Chair High Back Mesh,AUD $209.00,High back designer mesh chair,https://www.retaildisplaydirect.com.au/ergodc-ergonomic-designer-office-chair-high-back-mesh/,https://cdn11.bigcommerce.com/s-ugqmr0qfvf/products/1381/images/3648/A__00530.1668132628.500.750.jpg?c=2,true,available,0,2026-08-08T06:05:33+00:00
1354,ErgoDC Ergonomic Office Chair High Back Full Mesh Grey,AUD $237.60,High back full mesh chair in grey,https://www.retaildisplaydirect.com.au/ergonomic-office-chair-high-back-mesh-grey/,https://cdn11.bigcommerce.com/s-ugqmr0qfvf/products/1354/images/2446/A__62999.1668132047.500.750.jpg?c=2,true,available,33,2026-08-08T06:09:38+00:00
1353,ErgoDC Ergonomic Office Chair High Back Full Mesh Black,AUD $297.00,High back full mesh chair in black,https://www.retaildisplaydirect.com.au/ergodc-ergonomic-office-chair-high-back-full-mesh-black/,https://cdn11.bigcommerce.com/s-ugqmr0qfvf/products/1353/images/2430/AA__39918.1668132050.500.750.jpg?c=2,true,available,0,2026-08-08T06:09:41+00:00
1375,ErgoDC Ergonomic Executive Office Chair High Back Full Mesh Black,AUD $319.00,Executive high back mesh chair,https://www.retaildisplaydirect.com.au/ergodc-ergonomic-executive-office-chair-high-back-full-mesh-black/,https://cdn11.bigcommerce.com/s-ugqmr0qfvf/products/1375/images/3495/A__62664.1668132250.500.750.jpg?c=2,true,available,0,2026-08-08T06:06:25+00:00
1384,ErgoDC L Shaped Ergonomic Gaming Desk 1600mm,AUD $135.15,L shaped study desk 1600mm,https://www.retaildisplaydirect.com.au/ergodc-l-shaped-ergonomic-gaming-desk-1600mm/,https://cdn11.bigcommerce.com/s-ugqmr0qfvf/products/1384/images/3703/A__16864.1655189595.500.750.jpg?c=2,true,available,3,2026-08-08T06:04:05+00:00
1248,Ergonomic Desk Black 1400mm,AUD $386.71,Height adjustable sit stand desk 1400mm,https://www.retaildisplaydirect.com.au/ergonomic-desk-black/,https://cdn11.bigcommerce.com/s-ugqmr0qfvf/products/1248/images/5267/SSDB14BLA__09583.1718865601.500.750.jpg?c=2,true,available,40,2026-08-08T06:21:36+00:00
1246,Ergonomic Office Desk Black 1600mm,AUD $403.71,Height adjustable sit stand desk 1600mm,https://www.retaildisplaydirect.com.au/ergonomic-office-desk/,https://cdn11.bigcommerce.com/s-ugqmr0qfvf/products/1246/images/5270/SSDB16B__07805.1718865661.500.750.jpg?c=2,true,available,40,2026-08-08T06:21:36+00:00
1228,Sit Stand Desk White 1400mm,AUD $386.71,Sit stand desk in white 1400mm,https://www.retaildisplaydirect.com.au/sit-stand-desk-for-sale/,https://cdn11.bigcommerce.com/s-ugqmr0qfvf/products/1228/images/5255/SSDW14W__22198.1718864728.500.750.jpg?c=2,true,available,30,2026-08-08T06:21:42+00:00
1240,Electric Sit Stand Desk Black 1600mm,AUD $403.71,Electric sit stand desk 1600mm,https://www.retaildisplaydirect.com.au/electric-sit-stand-desk/,https://cdn11.bigcommerce.com/s-ugqmr0qfvf/products/1240/images/5262/SSDW16B__69704.1718865231.500.750.jpg?c=2,true,available,43,2026-08-08T06:21:40+00:00
1503,Sit Stand Desk Bamboo 1400mm,AUD $468.31,Bamboo top sit stand desk 1400mm,https://www.retaildisplaydirect.com.au/sit-stand-desk-bamboo-1400mm/,https://cdn11.bigcommerce.com/s-ugqmr0qfvf/products/1503/images/5104/SSDBAM14W__88156.1718605030.500.750.jpg?c=2,true,available,9,2026-08-08T06:03:09+00:00
1524,Totguard Children Study LED Lamp,AUD $110.50,Kids study LED desk lamp,https://www.retaildisplaydirect.com.au/totguard-children-study-led-lamp/,https://cdn11.bigcommerce.com/s-ugqmr0qfvf/products/1524/images/5312/A__43793.1741845448.500.750.jpg?c=2,true,available,2,2026-08-08T06:23:41+00:00
1397,ErgoDC Under Desk Adjustable Footrest,AUD $36.13,Under desk adjustable footrest,https://www.retaildisplaydirect.com.au/ergodc-under-desk-adjustable-footrest/,https://cdn11.bigcommerce.com/s-ugqmr0qfvf/products/1397/images/3878/A__66092.1672119945.500.750.jpg?c=2,true,available,386,2026-08-08T06:22:24+00:00
1396,ErgoDC Desktop Pegboard Organizer,AUD $33.66,Desktop pegboard organiser,https://www.retaildisplaydirect.com.au/ergodc-desktop-pegboard-organizer/,https://cdn11.bigcommerce.com/s-ugqmr0qfvf/products/1396/images/3874/A__71693.1672118216.500.750.jpg?c=2,true,available,10,2026-08-08T06:22:26+00:00
1399,ErgoDC Desktop Whiteboard,AUD $24.61,Desktop whiteboard,https://www.retaildisplaydirect.com.au/ergodc-desktop-whiteboard/,https://cdn11.bigcommerce.com/s-ugqmr0qfvf/products/1399/images/3893/A__59521.1682481679.500.750.jpg?c=2,true,available,63,2026-08-08T06:21:21+00:00
1325,Sit Stand Mat,AUD $38.25,Sit stand floor mat,https://www.retaildisplaydirect.com.au/Sit-Stand-Mat-For-Office-And-Home/,https://cdn11.bigcommerce.com/s-ugqmr0qfvf/products/1325/images/3136/A_clipped_rev_1__57917.1785474662.500.750.jpg?c=2,true,available,165,2026-08-08T06:13:41+00:00
1400,ErgoDC Desktop Buddy,AUD $39.90,Desktop storage organiser,https://www.retaildisplaydirect.com.au/ergodc-desktop-buddy/,https://cdn11.bigcommerce.com/s-ugqmr0qfvf/products/1400/images/5965/7930500f30be15a9662188cab74a9f3f_clipped_rev_1__55827.1758171176.500.750.jpg?c=2,true,available,8,2026-08-08T06:21:19+00:00
