section,name,price,url,imageUrl,availability,verifiedLive
"Insulated Drinkware","25oz Vacuum Insulated Water Bottle Black","37.26","https://www.retaildisplaydirect.com.au/25oz-vacuum-insulated-stainless-steel-water-bottle-black/","https://cdn11.bigcommerce.com/s-ugqmr0qfvf/images/stencil/500x659/products/1827/8742/1__62198.1786715619.jpg?c=2","available","2026-08-25"
"Insulated Drinkware","64oz Vacuum Insulated Flask Army Green","86.67","https://www.retaildisplaydirect.com.au/64oz-stainless-steel-vacuum-insulated-flask-army-green/","https://cdn11.bigcommerce.com/s-ugqmr0qfvf/images/stencil/500x659/products/1826/8753/1__50472.1786715784.jpg?c=2","available","2026-08-25"
"Workspace Upgrades","ErgoDC Under Desk Adjustable Footrest","32.51","https://www.retaildisplaydirect.com.au/ergodc-under-desk-adjustable-footrest/","https://cdn11.bigcommerce.com/s-ugqmr0qfvf/products/1397/images/3878/A__66092.1672119945.500.750.jpg?c=2","available","2026-08-25"
"Workspace Upgrades","ErgoDC Desktop Pegboard Organizer","30.29","https://www.retaildisplaydirect.com.au/ergodc-desktop-pegboard-organizer/","https://cdn11.bigcommerce.com/s-ugqmr0qfvf/products/1396/images/3874/A__71693.1672118216.500.750.jpg?c=2","available","2026-08-25"
"Workspace Upgrades","ErgoDC Desktop Whiteboard","25.35","https://www.retaildisplaydirect.com.au/ergodc-desktop-whiteboard/","https://cdn11.bigcommerce.com/s-ugqmr0qfvf/products/1399/images/3893/A__59521.1682481679.500.750.jpg?c=2","available","2026-08-25"
"Workspace Upgrades","Sit Stand Mat","34.42","https://www.retaildisplaydirect.com.au/Sit-Stand-Mat-For-Office-And-Home/","https://cdn11.bigcommerce.com/s-ugqmr0qfvf/products/1325/images/3136/A_clipped_rev_1__57917.1785474662.500.750.jpg?c=2","available","2026-08-25"
"Workspace Upgrades","ErgoDC Desktop Buddy","43.05","https://www.retaildisplaydirect.com.au/ergodc-desktop-buddy/","https://cdn11.bigcommerce.com/s-ugqmr0qfvf/products/1400/images/5965/7930500f30be15a9662188cab74a9f3f_clipped_rev_1__55827.1758171176.500.750.jpg?c=2","available","2026-08-25"
"Workspace Upgrades","Mobile Pedestal 3 Drawer","171.5","https://www.retaildisplaydirect.com.au/mobile-pedestal-3-drawer/","https://cdn11.bigcommerce.com/s-ugqmr0qfvf/images/stencil/500x659/products/1341/3094/A__29950.1657692235.jpg?c=2","available","2026-08-25"
"Ergonomic Seating","ErgoDC Ergonomic Office Chair High Back Full Mesh Grey","213.84","https://www.retaildisplaydirect.com.au/ergonomic-office-chair-high-back-mesh-grey/","https://cdn11.bigcommerce.com/s-ugqmr0qfvf/products/1354/images/2446/A__62999.1668132047.500.750.jpg?c=2","available","2026-08-25"
"Ergonomic Seating","ErgoDC Ergonomic Executive Office Chair High Back Full Mesh Grey","269.1","https://www.retaildisplaydirect.com.au/ergodc-ergonomic-executive-office-chair-high-back-full-mesh-grey/","https://cdn11.bigcommerce.com/s-ugqmr0qfvf/images/stencil/500x659/products/1376/3526/A__50829.1668132253.jpg?c=2","available","2026-08-25"
"Sit-Stand Desks","Sit Stand Desk White 1400mm","386.71","https://www.retaildisplaydirect.com.au/sit-stand-desk-for-sale/","https://cdn11.bigcommerce.com/s-ugqmr0qfvf/products/1228/images/5255/SSDW14W__22198.1718864728.500.750.jpg?c=2","available","2026-08-25"
"Sit-Stand Desks","Electric Sit Stand Desk Black 1600mm","403.71","https://www.retaildisplaydirect.com.au/electric-sit-stand-desk/","https://cdn11.bigcommerce.com/s-ugqmr0qfvf/products/1240/images/5262/SSDW16B__69704.1718865231.500.750.jpg?c=2","available","2026-08-25"
"Sit-Stand Desks","Sit Stand Desk Bamboo 1400mm","484.84","https://www.retaildisplaydirect.com.au/sit-stand-desk-bamboo-1400mm/","https://cdn11.bigcommerce.com/s-ugqmr0qfvf/products/1503/images/5104/SSDBAM14W__88156.1718605030.500.750.jpg?c=2","available","2026-08-25"
"Sit-Stand Desks","Ergonomic Desk Black 1400mm","386.71","https://www.retaildisplaydirect.com.au/ergonomic-desk-black/","https://cdn11.bigcommerce.com/s-ugqmr0qfvf/products/1248/images/5267/SSDB14BLA__09583.1718865601.500.750.jpg?c=2","available","2026-08-25"
"Sit-Stand Desks","Ergonomic Office Desk Black 1600mm","403.71","https://www.retaildisplaydirect.com.au/ergonomic-office-desk/","https://cdn11.bigcommerce.com/s-ugqmr0qfvf/products/1246/images/5270/SSDB16B__07805.1718865661.500.750.jpg?c=2","available","2026-08-25"
"Sit-Stand Desks","Electric Standing Desk Black 1800mm","420.71","https://www.retaildisplaydirect.com.au/electric-standing-desk/","https://cdn11.bigcommerce.com/s-ugqmr0qfvf/images/stencil/500x659/products/1244/5264/SSDW18B__65042.1718865334.jpg?c=2","available","2026-08-25"
"Whiteboards","Glass Whiteboard 1200x900mm WHITE","161.69","https://www.retaildisplaydirect.com.au/glass-whiteboard-writing-board/","https://cdn11.bigcommerce.com/s-ugqmr0qfvf/images/stencil/500x659/products/981/3144/GBW1__24286.1710425007.jpg?c=2","available","2026-08-25"
"Whiteboards","Glass Whiteboard 1500x900mm WHITE","229.95","https://www.retaildisplaydirect.com.au/magnetic-glass-whiteboard/","https://cdn11.bigcommerce.com/s-ugqmr0qfvf/images/stencil/500x659/products/1251/3140/GBW1590__76944.1674521508.jpg?c=2","available","2026-08-25"
