id,name,priceLabel,category,url,imageUrl,isVisible,availability,inventoryLevel,dateModified
872,"SectorCare 3-in-1 Folding Shower Chair, Commode and Walker – Blue",AUD $81.00,Bath Aids,https://sectorcare.com.au/sectorcare-3-in-1-folding-shower-chair-commode-and-walker-blue/,https://cdn11.bigcommerce.com/s-498h0egvgn/products/872/images/4334/1_-_2026-06-10T123845.348__61301.1782187996.386.513.jpg?c=2,true,available,92,2026-08-10T01:08:17+00:00
873,"SectorCare 3-in-1 Folding Shower Chair, Commode and Walker – White",AUD $84.60,Bath Aids,https://sectorcare.com.au/sectorcare-3-in-1-folding-shower-chair-commode-and-walker-white/,https://cdn11.bigcommerce.com/s-498h0egvgn/products/873/images/4324/1_-_2026-06-10T102216.272__52005.1782188318.386.513.jpg?c=2,true,available,96,2026-08-10T01:08:19+00:00
876,SectorCare Lightweight Aluminium Commode Chair with Removable Armrests,AUD $81.00,Bath Aids,https://sectorcare.com.au/sectorcare-lightweight-aluminium-commode-chair-with-removable-armrests/,https://cdn11.bigcommerce.com/s-498h0egvgn/products/876/images/4294/1_-_2026-06-09T111229.718__55696.1782189817.386.513.jpg?c=2,true,available,46,2026-08-10T01:08:26+00:00
877,SectorCare Height Adjustable Commode Chair,AUD $116.10,Bath Aids,https://sectorcare.com.au/sectorcare-height-adjustable-commode-chair/,https://cdn11.bigcommerce.com/s-498h0egvgn/products/877/images/4284/1_-_2026-06-09T092642.964__36249.1782189889.386.513.jpg?c=2,true,available,96,2026-08-10T01:08:28+00:00
878,SectorCare 360° Swivel Transfer Shower Chair with Armrests,AUD $162.00,Bath Aids,https://sectorcare.com.au/sectorcare-360-swivel-transfer-shower-chair-with-armrests/,https://cdn11.bigcommerce.com/s-498h0egvgn/products/878/images/4274/1_-_2026-06-09T085905.175__32774.1782190000.386.513.jpg?c=2,true,available,95,2026-08-10T01:08:30+00:00
879,SectorCare U-Shaped Shower Chair with Backrest,AUD $52.20,Bath Aids,https://sectorcare.com.au/sectorcare-u-shaped-shower-chair-with-backrest/,https://cdn11.bigcommerce.com/s-498h0egvgn/products/879/images/4264/1_-_2026-06-09T084436.477__62874.1782190070.386.513.jpg?c=2,true,available,43,2026-08-10T01:08:32+00:00
880,SectorCare Wall Mounted Folding Shower Seat,AUD $54.00,Bath Aids,https://sectorcare.com.au/sectorcare-wall-mounted-folding-shower-seat/,https://cdn11.bigcommerce.com/s-498h0egvgn/products/880/images/4254/1_-_2026-06-08T161326.518__66400.1782190846.386.513.jpg?c=2,true,available,42,2026-08-10T01:08:34+00:00
881,SectorCare Height Adjustable Aluminium Shower Stool,AUD $35.10,Bath Aids,https://sectorcare.com.au/sectorcare-height-adjustable-aluminium-shower-stool/,https://cdn11.bigcommerce.com/s-498h0egvgn/products/881/images/4244/1_-_2026-06-08T151610.319__88023.1782190749.386.513.jpg?c=2,true,available,93,2026-08-10T01:08:36+00:00
930,SectorCare U-Shaped Shower Seat,AUD $42.30,Bath Aids,https://sectorcare.com.au/sectorcare-u-shaped-shower-seat/,https://cdn11.bigcommerce.com/s-498h0egvgn/products/930/images/4869/1__68547.1784100994.386.513.jpg?c=2,true,available,45,2026-08-10T01:08:56+00:00
931,SectorCare Transfer Bath Bench with Backrest,AUD $90.00,Bath Aids,https://sectorcare.com.au/sectorcare-transfer-bath-bench-with-backrest/,https://cdn11.bigcommerce.com/s-498h0egvgn/products/931/images/4876/2__74067.1784101536.386.513.jpg?c=2,true,available,47,2026-08-10T01:08:57+00:00
932,SectorCare Heavy Duty Transfer Bath Bench with Backrest,AUD $125.10,Bath Aids,https://sectorcare.com.au/sectorcare-heavy-duty-transfer-bath-bench-with-backrest/,https://cdn11.bigcommerce.com/s-498h0egvgn/products/932/images/4889/1__03757.1784102073.386.513.jpg?c=2,true,available,97,2026-08-10T01:08:59+00:00
933,SectorCare Foldable Shower Chair with Backrest and Handles,AUD $104.00,Bath Aids,https://sectorcare.com.au/sectorcare-foldable-shower-chair-with-backrest-and-handles/,https://cdn11.bigcommerce.com/s-498h0egvgn/products/933/images/4897/1__34662.1784102556.386.513.jpg?c=2,true,available,35,2026-08-10T01:09:01+00:00
934,SectorCare 360° Swivel Shower Chair with Backrest and Handles,AUD $123.30,Bath Aids,https://sectorcare.com.au/sectorcare-360-swivel-shower-chair-with-backrest-and-handles/,https://cdn11.bigcommerce.com/s-498h0egvgn/products/934/images/4911/1__64156.1785141593.386.513.jpg?c=2,true,available,97,2026-08-10T01:09:03+00:00
935,SectorCare 360° Swivel Bath Seat with Backrest,AUD $142.20,Bath Aids,https://sectorcare.com.au/sectorcare-360-swivel-bath-seat-with-backrest/,https://cdn11.bigcommerce.com/s-498h0egvgn/products/935/images/4919/2__19882.1784103468.386.513.jpg?c=2,true,available,47,2026-08-10T01:09:12+00:00
936,SectorCare Adjustable Bath Board with Dual Support Rails,AUD $34.20,Bath Aids,https://sectorcare.com.au/sectorcare-adjustable-bath-board-with-dual-support-rails/,https://cdn11.bigcommerce.com/s-498h0egvgn/products/936/images/4928/3__82857.1785221224.386.513.jpg?c=2,true,available,46,2026-08-10T01:09:13+00:00
937,SectorCare Adjustable Bath Board with Soft Grip Handle,AUD $41.40,Bath Aids,https://sectorcare.com.au/sectorcare-adjustable-bath-board-with-soft-grip-handle/,https://cdn11.bigcommerce.com/s-498h0egvgn/products/937/images/4939/1__07581.1784130814.386.513.jpg?c=2,true,available,45,2026-08-10T01:09:15+00:00
